股票代码,股票简称
00001,长和
00002,中电控股
00003,香港中华煤气
00004,九龙仓集团
00005,汇丰控股
00006,电能实业
00007,智富资源投资
00008,电讯盈科
00009,金奥国际
00010,恒隆集团
00011,恒生银行
00012,恒基地产
00013,和黄医药
00014,希慎兴业
00016,新鸿基地产
00017,新世界发展
00018,东方企控集团
00019,太古股份公司A
00020,商汤-W
00021,大中华地产控股
00022,茂盛控股
00023,东亚银行
00024,宝威控股
00025,CHEVALIER INT'L
00026,中华汽车
00027,银河娱乐
00028,天安
00029,达力集团
00030,万隆控股集团
00031,航天控股
00032,港通控股
00033,安山金控
00034,九龙建业
00035,远东发展
00036,远东控股国际
00037,远东酒店实业
00038,第一拖拉机股份
00039,中国北大荒
00040,金山工业
00041,鹰君
00042,东北电气
00043,卜蜂国际
00045,大酒店
00046,科联系统
00047,合兴集团
00048,中国汽车内饰
00050,香港小轮(集团)
00051,海港企业
00052,大快活集团
00053,国浩集团
00055,中星集团控股
00057,震雄集团
00058,新威国际
00059,天誉置业
00060,香港食品投资
00061,绿领控股
00062,载通
00063,中亚烯谷集团
00064,结好控股
00065,弘海高新资源
00066,港铁公司
00067,旭光高新材料
00068,利兴发展
00069,香格里拉(亚洲)
00070,金粤控股
00071,美丽华酒店
00072,现代传播
00073,亚洲果业
00075,渝太地产
00076,谊砾控股
00077,进智公共交通
00078,REGAL INT'L
00079,世纪建业
00080,中国新经济投资
00081,中国海外宏洋集团
00082,疯狂体育
00083,信和置业
00084,宝光实业
00085,中电华大科技
00086,新鸿基公司
00087,太古股份公司B
00088,TAI CHEUNG HOLD
00089,大生地产
00090,普星能量
00091,金禧国际控股
00092,冠军科技集团
00093,TERMBRAY IND
00094,绿心集团
00095,绿景中国地产
00096,YUSEI
00097,恒基发展
00098,兴发铝业
00099,王氏国际
00100,白马户外媒体
00101,恒隆地产
00102,凯升控股
00103,首佳科技
00104,ASIA COMM HOLD
00105,凯联国际酒店
00106,朗诗地产
00107,四川成渝高速公路
00108,国锐地产
00109,天成国际
00110,中国长远
00111,信达国际控股
00112,勒泰集团
00113,迪生创建
00114,HERALD HOLD
00115,钧濠集团
00116,周生生
00117,天利控股集团
00118,大同机械
00119,保利置业集团
00120,COSMOPOL INT'L
00122,鳄鱼恤
00123,越秀地产
00124,粤海置地
00125,新兴光学
00126,佳宁娜
00127,华人置业
00128,安宁控股
00129,泛海集团
00130,慕诗国际
00131,卓能(集团)
00132,中国兴业控股
00133,招商局中国基金
00135,昆仑能源
00136,恒腾网络
00137,金辉集团
00138,中建富通
00139,中达集团控股
00141,天禧海嘉控股
00142,第一太平
00143,国安国际
00144,招商局港口
00145,信能低碳
00146,TAI PING CARPET
00147,国际商业结算
00148,建滔集团
00149,中国农产品交易
00150,HYPEBEAST
00151,中国旺旺
00152,深圳国际
00153,中国赛特
00154,北京控股环境集团
00155,中国源畅
00156,力宝华润
00157,自然美
00158,万邦投资
00159,布莱克万矿业
00160,汉国置业
00162,世纪金花
00163,英皇国际
00164,中国宝力科技
00165,中国光大控股
00166,新时代能源
00167,IDT INT'L
00168,青岛啤酒股份
00169,万达酒店发展
00171,银建国际
00172,金榜集团
00173,嘉华国际
00174,盛洋投资
00175,吉利汽车
00176,先机企业集团
00177,江苏宁沪高速公路
00178,莎莎国际
00179,德昌电机控股
00180,开达集团
00181,闽港控股
00182,协合新能源
00183,宏辉集团
00184,激成投资
00185,正商实业
00186,敏捷控股
00187,京城机电股份
00188,新华汇富金融
00189,东岳集团
00191,丽新国际
00193,冠中地产
00194,廖创兴企业
00195,绿科科技国际
00196,宏华集团
00197,亨泰
00199,德祥地产
00200,新濠国际发展
00201,华大酒店
00202,润中国际控股
00204,中国投资开发
00205,财讯传媒
00206,华商国际海洋控股
00207,大悦城地产
00209,瀛晟科学
00210,达芙妮国际
00211,STYLAND HOLD
00212,NANYANG HOLD
00213,NATIONAL ELEC H
00214,汇汉控股
00215,和记电讯香港
00216,建业实业
00217,中国诚通发展集团
00218,申万宏源香港
00219,顺豪物业
00220,统一企业中国
00222,闽信集团
00223,易生活控股
00224,建生国际
00225,博富临置业
00226,力宝
00227,第一上海
00228,中能控股
00229,利民实业
00230,五矿地产
00231,平安证券集团控股
00232,大陆航空科技控股
00234,新世纪集团
00235,中策集团
00236,香港生力啤
00237,安全货仓
00238,长兴国际
00239,白花油
00240,利基控股
00241,阿里健康
00242,信德集团
00243,QPL INT'L
00244,先施
00245,中薇金融
00247,TST PROPERTIES
00248,香港通讯国际控股
00250,中国数码信息
00251,爪哇控股
00252,华信地产财务
00253,顺豪控股
00254,国家联合资源
00255,龙记集团
00256,冠城钟表珠宝
00257,光大环境
00258,汤臣集团
00259,亿都(国际控股)
00260,幸福控股
00261,GBA集团
00262,迪臣发展国际
00263,高富集团控股
00264,中联发展控股
00265,东胜旅游
00266,天德地产
00267,中信股份
00268,金蝶国际
00269,中国资源交通
00270,粤海投资
00271,亚证地产
00272,瑞安房地产
00273,茂宸集团
00274,复兴亚洲
00276,蒙古能源
00277,太兴置业
00278,华厦置业
00279,裕承科金
00280,景福集团
00281,川河集团
00282,壹传媒
00285,比亚迪电子
00286,爱帝宫
00287,永发置业
00288,万洲国际
00289,WING ON CO
00290,中国富强金融
00291,华润啤酒
00292,泛海酒店
00293,国泰航空
00294,长江制衣
00295,江山控股
00296,英皇娱乐酒店
00297,中化化肥
00298,庄士中国
00299,宝新置地
00301,三和精化
00302,中手游
00303,VTECH HOLDINGS
00305,五菱汽车
00306,冠忠巴士集团
00307,优派能源发展
00308,香港中旅
00309,新华通讯频媒
00310,嘉进投资国际
00311,联泰控股
00312,岁宝百货
00313,裕田中国
00315,数码通电讯
00316,东方海外国际
00317,中船防务
00318,黄河实业
00320,金宝通
00321,德永佳集团
00322,康师傅控股
00323,马鞍山钢铁股份
00326,中国星集团
00327,百富环球
00328,ALCO HOLDINGS
00329,东建国际
00330,思捷环球
00331,丰盛生活服务
00332,元亨燃气
00333,黛丽斯国际
00334,华显光电
00335,美建集团
00336,华宝国际
00337,绿地香港
00338,上海石油化工股份
00339,核心经济投资
00340,潼关黄金
00341,大家乐集团
00342,新海能源
00343,文化传信
00345,VITASOY INT'L
00346,延长石油国际
00347,鞍钢股份
00348,中国智能健康
00351,亚洲能源物流
00352,富阳
00353,能源国际投资
00354,中国软件国际
00355,世纪城市国际
00356,鼎立资本
00357,美兰空港
00358,江西铜业股份
00359,海升果汁
00360,新焦点
00361,顺龙控股
00362,信阳毛尖
00363,上海实业控股
00364,区块链集团
00365,芯成科技
00366,陆氏集团(越南)
00367,庄士机构国际
00368,德合集团
00369,永泰地产
00370,国华
00371,北控水务集团
00372,保德国际发展
00373,联合集团
00374,四洲集团
00375,YGM TRADING
00376,云锋金融
00377,中国华君
00378,五龙动力
00379,恒嘉融资租赁
00380,中国管业
00381,侨雄国际
00382,中汇集团
00383,中国医疗网络
00384,中国燃气
00385,建联集团
00386,中国石油化工股份
00387,力丰(集团)
00388,香港交易所
00389,通天酒业
00390,中国中铁
00391,美亚娱乐资讯
00392,北京控股
00393,旭日企业
00395,环球智能控股
00396,兴利(香港)控股
00397,权威金融
00398,东方表行集团
00399,领航医药生物科技
00400,科通芯城
00401,万嘉集团
00403,星光集团
00405,越秀房产信托基金
00406,有利集团
00408,叶氏化工集团
00410,SOHO中国
00411,南顺(香港)
00412,山高金融
00413,南华集团控股
00416,锦州银行
00417,谢瑞麟
00418,方正控股
00419,华谊腾讯娱乐
00420,福田实业
00422,越南制造加工出口
00423,经济日报集团
00425,敏实集团
00426,万华媒体
00428,中国天弓控股
00430,东方兴业控股
00431,大中华金融
00432,盈大地产
00433,北方矿业
00434,博雅互动
00435,阳光房地产基金
00436,新宇环保
00438,彩虹新能源
00439,光启科学
00440,大新金融
00442,海福德集团
00444,SINCEREWATCH HK
00449,志高控股
00450,鸿兴印刷集团
00451,协鑫新能源
00455,天大药业
00456,新城市建设发展
00458,联亚集团
00459,美联工商铺
00460,四环医药
00462,天然乳品
00464,中国海外诺信
00465,富通科技
00467,联合能源集团
00468,纷美包装
00471,中播控股
00472,新丝路文旅
00474,信铭生命科技
00475,中发展控股
00476,科轩动力控股
00479,华建控股
00480,香港兴业国际
00482,圣马丁国际
00483,包浩斯国际
00484,云游控股
00485,中国华星
00486,俄铝
00487,实德环球
